customer_id,first_name,last_name,email,city,state,registration_date
1,Cliente_1,Sobrenome_1,cliente1@email.com,São Paulo,SP,2025-04-18
2,Cliente_2,Sobrenome_2,cliente2@email.com,Rio de Janeiro,RJ,2025-06-26
3,Cliente_3,Sobrenome_3,cliente3@email.com,São Paulo,BA,2025-07-23
4,Cliente_4,Sobrenome_4,cliente4@email.com,Salvador,RS,2025-08-20
5,Cliente_5,Sobrenome_5,cliente5@email.com,São Paulo,SP,2025-05-17
6,Cliente_6,Sobrenome_6,cliente6@email.com,Rio de Janeiro,BA,2024-11-01
7,Cliente_7,Sobrenome_7,cliente7@email.com,São Paulo,BA,2025-05-27
8,Cliente_8,Sobrenome_8,cliente8@email.com,Salvador,RS,2025-05-16
9,Cliente_9,Sobrenome_9,cliente9@email.com,Porto Alegre,BA,2025-04-16
10,Cliente_10,Sobrenome_10,cliente10@email.com,São Paulo,RJ,2024-09-13
11,Cliente_11,Sobrenome_11,cliente11@email.com,Porto Alegre,MG,2025-04-16
12,Cliente_12,Sobrenome_12,cliente12@email.com,Rio de Janeiro,RJ,2025-03-17
13,Cliente_13,Sobrenome_13,cliente13@email.com,São Paulo,SP,2025-02-23
14,Cliente_14,Sobrenome_14,cliente14@email.com,São Paulo,MG,2025-03-13
15,Cliente_15,Sobrenome_15,cliente15@email.com,Salvador,MG,2025-08-14
16,Cliente_16,Sobrenome_16,cliente16@email.com,Porto Alegre,BA,2025-07-04
17,Cliente_17,Sobrenome_17,cliente17@email.com,Porto Alegre,SP,2024-11-27
18,Cliente_18,Sobrenome_18,cliente18@email.com,Belo Horizonte,BA,2025-03-04
19,Cliente_19,Sobrenome_19,cliente19@email.com,Salvador,RJ,2024-09-10
20,Cliente_20,Sobrenome_20,cliente20@email.com,São Paulo,SP,2024-10-02
21,Cliente_21,Sobrenome_21,cliente21@email.com,Rio de Janeiro,MG,2025-07-27
22,Cliente_22,Sobrenome_22,cliente22@email.com,Rio de Janeiro,SP,2025-02-23
23,Cliente_23,Sobrenome_23,cliente23@email.com,Belo Horizonte,RS,2024-10-15
24,Cliente_24,Sobrenome_24,cliente24@email.com,Belo Horizonte,RJ,2025-02-28
25,Cliente_25,Sobrenome_25,cliente25@email.com,Belo Horizonte,RJ,2024-09-27
26,Cliente_26,Sobrenome_26,cliente26@email.com,Belo Horizonte,SP,2024-10-29
27,Cliente_27,Sobrenome_27,cliente27@email.com,Rio de Janeiro,BA,2025-05-03
28,Cliente_28,Sobrenome_28,cliente28@email.com,Rio de Janeiro,RS,2025-02-23
29,Cliente_29,Sobrenome_29,cliente29@email.com,Belo Horizonte,BA,2025-05-16
30,Cliente_30,Sobrenome_30,cliente30@email.com,Belo Horizonte,SP,2025-05-11
31,Cliente_31,Sobrenome_31,cliente31@email.com,São Paulo,MG,2025-02-12
32,Cliente_32,Sobrenome_32,cliente32@email.com,Belo Horizonte,SP,2025-05-20
33,Cliente_33,Sobrenome_33,cliente33@email.com,Salvador,MG,2025-05-20
34,Cliente_34,Sobrenome_34,cliente34@email.com,Porto Alegre,RS,2024-10-11
35,Cliente_35,Sobrenome_35,cliente35@email.com,Porto Alegre,RJ,2025-04-23
36,Cliente_36,Sobrenome_36,cliente36@email.com,Rio de Janeiro,RJ,2024-11-22
37,Cliente_37,Sobrenome_37,cliente37@email.com,Salvador,MG,2024-11-10
38,Cliente_38,Sobrenome_38,cliente38@email.com,Porto Alegre,BA,2025-02-13
39,Cliente_39,Sobrenome_39,cliente39@email.com,Belo Horizonte,RJ,2025-06-27
40,Cliente_40,Sobrenome_40,cliente40@email.com,Salvador,RS,2025-07-21
41,Cliente_41,Sobrenome_41,cliente41@email.com,São Paulo,SP,2025-06-19
42,Cliente_42,Sobrenome_42,cliente42@email.com,Rio de Janeiro,RS,2024-11-04
43,Cliente_43,Sobrenome_43,cliente43@email.com,São Paulo,RS,2025-02-22
44,Cliente_44,Sobrenome_44,cliente44@email.com,Salvador,RS,2024-12-09
45,Cliente_45,Sobrenome_45,cliente45@email.com,Belo Horizonte,BA,2025-08-31
46,Cliente_46,Sobrenome_46,cliente46@email.com,São Paulo,BA,2025-04-22
47,Cliente_47,Sobrenome_47,cliente47@email.com,Belo Horizonte,SP,2025-04-08
48,Cliente_48,Sobrenome_48,cliente48@email.com,Porto Alegre,RJ,2025-01-16
49,Cliente_49,Sobrenome_49,cliente49@email.com,São Paulo,MG,2024-12-23
50,Cliente_50,Sobrenome_50,cliente50@email.com,Rio de Janeiro,BA,2025-07-13
51,Cliente_51,Sobrenome_51,cliente51@email.com,Belo Horizonte,BA,2024-10-29
52,Cliente_52,Sobrenome_52,cliente52@email.com,Rio de Janeiro,RJ,2025-02-26
53,Cliente_53,Sobrenome_53,cliente53@email.com,Rio de Janeiro,BA,2024-12-08
54,Cliente_54,Sobrenome_54,cliente54@email.com,São Paulo,BA,2025-03-24
55,Cliente_55,Sobrenome_55,cliente55@email.com,Porto Alegre,SP,2025-07-10
56,Cliente_56,Sobrenome_56,cliente56@email.com,Belo Horizonte,MG,2025-05-06
57,Cliente_57,Sobrenome_57,cliente57@email.com,São Paulo,RJ,2024-11-19
58,Cliente_58,Sobrenome_58,cliente58@email.com,São Paulo,SP,2024-12-31
59,Cliente_59,Sobrenome_59,cliente59@email.com,São Paulo,BA,2025-07-03
60,Cliente_60,Sobrenome_60,cliente60@email.com,Rio de Janeiro,RS,2024-11-28
61,Cliente_61,Sobrenome_61,cliente61@email.com,Rio de Janeiro,MG,2024-12-09
62,Cliente_62,Sobrenome_62,cliente62@email.com,Salvador,RS,2025-05-20
63,Cliente_63,Sobrenome_63,cliente63@email.com,Salvador,RJ,2025-03-30
64,Cliente_64,Sobrenome_64,cliente64@email.com,Porto Alegre,MG,2025-01-24
65,Cliente_65,Sobrenome_65,cliente65@email.com,Salvador,RS,2025-07-06
66,Cliente_66,Sobrenome_66,cliente66@email.com,Rio de Janeiro,RJ,2025-08-04
67,Cliente_67,Sobrenome_67,cliente67@email.com,Belo Horizonte,SP,2024-11-08
68,Cliente_68,Sobrenome_68,cliente68@email.com,Salvador,RJ,2024-11-08
69,Cliente_69,Sobrenome_69,cliente69@email.com,Rio de Janeiro,SP,2025-07-31
70,Cliente_70,Sobrenome_70,cliente70@email.com,São Paulo,RJ,2025-08-02
71,Cliente_71,Sobrenome_71,cliente71@email.com,São Paulo,MG,2025-07-31
72,Cliente_72,Sobrenome_72,cliente72@email.com,Salvador,RJ,2025-04-16
73,Cliente_73,Sobrenome_73,cliente73@email.com,Porto Alegre,RJ,2024-12-03
